postcode,postcode_space,postcode area,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Gigabit availability (% premises),% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA
AB101TA,AB10 1TA,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101TB,AB10 1TB,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101TD,AB10 1TD,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101TE,AB10 1TE,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101TF,AB10 1TF,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101TH,AB10 1TH,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101TJ,AB10 1TJ,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101TL,AB10 1TL,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101TN,AB10 1TN,AB,0.0,92.9,0.0,0.0,0.0,0.0,92.9,92.9,92.9,0.0,0.0,0.0,0.0,92.9,0.0,92.9,0.0
AB101TP,AB10 1TP,AB,0.0,41.7,0.0,0.0,0.0,58.3,41.7,41.7,41.7,0.0,0.0,0.0,58.3,41.7,0.0,41.7,0.0
AB101TQ,AB10 1TQ,AB,16.7,83.3,0.0,0.0,0.0,0.0,100.0,83.3,83.3,0.0,0.0,0.0,0.0,83.3,0.0,100.0,0.0
AB101TR,AB10 1TR,AB,30.0,70.0,0.0,0.0,0.0,0.0,100.0,70.0,70.0,0.0,0.0,0.0,0.0,70.0,0.0,100.0,0.0
AB101TS,AB10 1TS,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
AB101TT,AB10 1TT,AB,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
